quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
b5-3_q01,1,What's the BEST way to think about a paragraph's role in nonfiction writing?,Each paragraph does a specific job in the argument.,Each paragraph is a chunk of text of about equal size.,Each paragraph repeats the main idea in new words.,Each paragraph adds one more fact to a running list.,A,"Correct. Paragraphs aren't decoration. Each one does a job — introduce, define, illustrate, provide evidence, contrast, counter, refute, conclude — and naming that job is the advanced-reader move.","Tempting because paragraphs do look like similar-sized blocks on the page. But size is a formatting fact, not a function. Two paragraphs of identical length can do completely different jobs.",Tempting because paragraphs do stay connected to the main idea. But restating isn't a job — a paragraph that only repeated the thesis would be cut. Each one advances the argument differently.,"Tempting because nonfiction is full of facts. But listing is only one possible job; other paragraphs define, contrast, counter, or conclude without adding a new fact at all.",B5.3-paragraph-function,easy
b5-3_q02,2,"On a test, ""What is the role of paragraph 3?"" is asking for:",The job that paragraph does in the argument.,A short summary of what paragraph 3 says.,The most important quotation in paragraph 3.,How paragraph 3 connects to the author's purpose.,A,"Correct. ""Role"" and ""function"" questions ask what the paragraph DOES — illustrate, define, provide evidence, contrast — not what it contains. Name the job, not the content.","The single most common wrong answer. Summarizing tells what the paragraph SAYS; a function question asks what it DOES. ""It talks about bees"" is content; ""it gives an example"" is function.",Tempting because quoting feels like textual evidence. But pulling a line out of the paragraph still reports content — it never names the work the paragraph is doing.,"Very close, and this is why it's tempting. But author's purpose is about the WHOLE text; paragraph function is the narrower job of that one paragraph inside the argument.",B5.3-paragraph-function,easy
b5-3_q03,3,"A paragraph opens: ""Consider the case of Vermont, where pesticide restrictions and habitat replanting together produced a 30 percent rebound in honeybee populations between 2018 and 2022."" What is the paragraph's most likely FUNCTION?",Give an example that illustrates the claim.,Conclude by generalizing from the findings.,Define what a healthy bee population means.,Refute the claim that pesticides cause harm.,A,"Correct. ""Consider the case of"" is a classic example-paragraph opener, and the Vermont specifics illustrate the article's broader claim about bee decline.",Tempting because the paragraph ends on a strong number that feels like a payoff. But a conclusion generalizes outward; this paragraph narrows inward to one state and one span of years.,"Tempting because ""30 percent rebound"" sounds like it's setting a standard. But no term is being explained here — the paragraph reports what happened in one place, not what a word means.","Tempting because the paragraph mentions pesticides. But the Vermont case supports the article's claim rather than arguing against it — restrictions helped, which fits the argument.",B5.3-paragraph-function,medium
b5-3_q04,4,"A paragraph reads: ""Some critics argue that the multi-cause framing lets pesticide manufacturers avoid full responsibility."" What is its most likely FUNCTION?","Define the term ""multi-cause framing"" for readers.",Present a counterargument to the article's view.,Conclude by weighing the causes against each other.,Provide background on how pesticides are regulated.,B,"Correct. ""Some critics argue"" is a classic counterargument introduction — the paragraph's job is to voice the opposing view, usually just before the article answers it.","Tempting because the paragraph does use the phrase ""multi-cause framing."" But using a term isn't defining it; the paragraph assumes you know it and reports what critics say about it.","Tempting because the paragraph names a tension, and tensions often close arguments. But this paragraph opens a dispute rather than settling one — a conclusion wouldn't hand the floor to critics.",Tempting because manufacturers and responsibility sound like policy context. But background reports settled facts; this paragraph reports a contested opinion attributed to critics.,B5.3-paragraph-function,medium
b5-3_q05,5,"A paragraph reads: ""What the research makes clear is that simple problems often have causes we haven't yet learned to see — and that patient, systemic responses tend to work better than dramatic single fixes."" Most likely FUNCTION?",Introduce the article's subject to new readers.,"Give an example of a patient, systemic response.",Conclude by generalizing from the article's findings.,Refute the researchers whose work is described.,C,"Correct. ""What the research makes clear"" points backward at evidence already given, and the closing generalization extends it into a lesson. Looking back plus widening out equals the conclude function.","Tempting because the sentence is broad, and openers are broad too. But an introduction points forward to work not yet done; this one points backward at research the reader has already been shown.","Tempting because ""patient, systemic responses"" names a real category. But no specific case appears — no place, no program, no numbers. The paragraph stays at the level of the general rule.","Tempting because ""we haven't yet learned to see"" sounds like a criticism. But it credits the research rather than disputing it; the paragraph builds on the findings instead of knocking them down.",B5.3-paragraph-function,medium
b5-3_q06,6,"A student answers a paragraph-function question with ""Paragraph 3 talks about the new policy."" What's wrong with this answer?",It names the wrong paragraph in the passage.,It should quote the policy's exact name and date.,It summarizes content instead of naming the job.,It states an opinion rather than a fact from the text.,C,Tempting because function answers do need the right paragraph. But nothing here indicates a mix-up — the flaw would remain even if paragraph 3 is exactly the one asked about.,Tempting because specifics usually strengthen answers. But adding the policy's name would only make the summary more detailed; a more detailed summary is still not a function answer.,"Correct. ""Talks about X"" reports what the paragraph SAYS. A function answer names what it DOES: ""Paragraph 3 provides evidence that the new policy is working."" Swap ""talks about"" for an action verb.","Tempting because weak answers often are opinions. But ""talks about the new policy"" is a factual observation — it's accurate about the content and still misses the question being asked.",B5.3-paragraph-function,medium
b5-3_q07,7,"A paragraph reads: ""For decades, scientists believed the asteroid impact alone caused the dinosaurs' extinction. Recent evidence has complicated that picture, suggesting volcanic activity may have contributed as well."" Most likely FUNCTION?",Refute the theory that volcanoes played a role.,Provide background that sets up the newer view.,Conclude by settling a long scientific debate.,Give an example of one careful scientific study.,B,"Correct. The paragraph gives the older view (""For decades... believed"") so the newer claim has something to push against. Supplying the history a reader needs is the background function.","Tempting because the paragraph does say one theory has been ""complicated."" But the asteroid theory is being expanded, not thrown out, and volcanic activity is the idea being introduced, not attacked.","Tempting because the paragraph mentions ""recent evidence,"" which sounds final. But ""may have contributed"" leaves the question open — the paragraph starts the discussion instead of closing it.","Tempting because ""recent evidence"" implies real research behind it. But no particular study, site, or finding is described; the paragraph summarizes decades of thinking in general terms.",B5.3-paragraph-function,medium
b5-3_q08,8,"Read this paragraph from an article on libraries: ""By contrast, libraries in suburban districts saw their funding INCREASE during the same period, often because of new partnerships with school districts."" Most likely FUNCTION?",Conclude by summing up funding across districts.,Define what counts as a suburban school district.,Refute the claim that library funding is falling.,Show a contrast with the case described before it.,D,"Correct. ""By contrast"" is one of the clearest contrast signals in nonfiction. The paragraph's job is to hold the suburban case up against whatever came just before it.",Tempting because comparing two groups feels like a wrap-up. But a conclusion would state what the comparison MEANS; this paragraph only supplies the second half of the comparison.,"Tempting because ""suburban districts"" is a category worth pinning down. But the paragraph never explains the term — it reports what happened to funding in those districts.","Tempting because rising funding seems to contradict a decline. But contrast shows that two groups differ; refuting would claim the earlier case was wrong, and both cases can be true at once.",B5.3-paragraph-function,medium
b5-3_q09,9,Sometimes a paragraph does MORE than one job. What should you do on a test question?,Choose the job that most of the sentences perform.,Choose the job that explains why it appears there.,Choose the job named by the paragraph's first words.,Choose the job that matches the whole article's aim.,B,"Tempting, and proportion IS a real clue — usually the dominant job wins. But sentence-counting can mislead: a paragraph can spend four sentences on an example and still be there to refute a claim.","Correct. Function is about the paragraph's work at that point in the argument. Ask why the author put it HERE, in this spot, rather than earlier or later. Proportion is one clue, not the rule.","Tempting because signal phrases like ""By contrast"" or ""Some critics argue"" really do point to function. But openers can mislead, especially when a paragraph turns after its first sentence.","Tempting because a paragraph should serve the article's aim. But that's true of every paragraph, so it can't distinguish them — this test would give the same answer for all of them.",B5.3-paragraph-function,hard
b5-3_q10,10,"Read: ""To understand why the new tax cuts produced no growth boost, we need to look at what happened in California in 1996. The state cut income taxes by 12 percent and waited. After three years, both revenue and growth came in below projections — a pattern that has since repeated in five other states."" Most likely FUNCTION?",Define what economists mean by a growth boost.,Introduce a new topic the article now turns to.,Refute the article's claim about the tax cuts.,Provide evidence that supports the article's claim.,D,"Tempting because ""growth boost"" is a technical-sounding phrase. But the paragraph never explains what it means — it reports numbers from one state and then generalizes the pattern.","Tempting because ""we need to look at"" sounds like a turn to something new. But the opening clause ties California directly to the tax-cut claim already on the table; it supports rather than switches.","Tempting because ""below projections"" is bad news, and bad news can feel like a rebuttal. But the disappointing results back the article's argument that the cuts don't work — the paragraph agrees with it.","Correct. One specific case (California, 1996, 12 percent) plus a repeated pattern across five other states is the classic shape of evidence: specifics marshaled to support the article's claim.",B5.3-paragraph-function,hard
