quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
c3-1_q01,1,Which verb most strongly signals that an author is proving another claim false?,questions,refutes,doubts,disputes,B,Trap: questioning raises doubt about a claim but stops short of showing it is false.,"Correct. Refute is the strongest rejection verb: it means to disprove, to show a claim is false with evidence.","Trap: doubting is a private stance, weaker than any public argument against a claim.","Trap: disputing means arguing against a claim, but a dispute can be lost. Refute means the disproof succeeded.",C3.1-academic-verbs,easy
c3-1_q02,2,"What does the verb ""refute"" most precisely mean in an academic context?",State again word for word.,Prove false with evidence.,Argue against without settling it.,Accept as already proven.,B,Trap: restating a claim repeats it without engaging the argument at all.,Correct. Refute means to disprove: the claim is shown to be false. It is the strongest argument-rejection verb.,"Trap: this is what challenge, dispute, and rebut mean. Refute is stronger: the disproof actually lands.",Trap: this is the opposite of refuting. Refute rejects a claim rather than granting it.,C3.1-academic-verbs,easy
c3-1_q03,3,"Read: ""The author asserts that small classes improve learning, but cites no studies to support the claim."" The choice of ""asserts"" tells the reader that:",The author has already proven this claim.,The author states the claim without proof.,The author states the claim tentatively.,The author has shown the claim is false.,B,"Trap: asserts sounds forceful, so it reads like proof. It only means the author states the claim confidently, and the missing studies show no proof was supplied.","Correct. Asserts is a claim verb, not a proof verb. The follow-up clause (cites no studies) seals the meaning.","Trap: right family, wrong strength. Tentative claiming is suggests or proposes; asserts is confident.",Trap: unproven is not the same as disproven. Nothing here shows the claim is false.,C3.1-academic-verbs,medium
c3-1_q04,4,"Read: ""The data implies a link, though the author concedes that more research is needed."" The verb ""concedes"" signals that:",The author admits a limit in the argument.,The author refuses to admit any limit.,The author says the data is wrong.,The author blames other researchers.,A,Correct. Concedes is the argument-admission verb: the author gives ground and admits the link is not yet established.,"Trap: this reverses the verb. Concedes means giving ground, not holding it.","Trap: too strong. Incomplete evidence is not wrong evidence, and the author still says the data implies a link.","Trap: concedes points inward. The author is admitting their own limit, not faulting anyone else.",C3.1-academic-verbs,medium
c3-1_q05,5,"Read: ""The journalist scrutinized every line of the city's spending report."" ""Scrutinized"" tells the reader that:",The journalist skimmed the report quickly.,The journalist accepted the report as accurate.,The journalist summarized the report for readers.,The journalist examined the report closely.,D,"Trap: right activity, wrong intensity. Skimming is fast and surface-level; scrutinizing is slow and searching.","Trap: careful attention is mistaken for approval. Scrutiny usually signals the opposite, a search for problems.","Trap: summarizing reports the content; scrutinizing tests it. Every line points to inspection, not retelling.","Correct. Scrutinized means examined carefully and critically, a stronger verb than read or reviewed.",C3.1-academic-verbs,medium
c3-1_q06,6,"Read: ""This study undermines the earlier consensus that the drug was safe."" ""Undermines"" most likely means:",Supports.,Disproves.,Overlooks.,Weakens.,D,"Trap: reverses the verb. Undermining works against a consensus, not with it.","Trap: right direction, too strong. Disproving settles the matter; undermining only erodes confidence.",Trap: undermining engages the consensus directly. Overlooking would mean never addressing it.,Correct. Undermines means weakens. The study chips away at confidence in the consensus without disproving it outright.,C3.1-academic-verbs,medium
c3-1_q07,7,"Read: ""The author refutes the claim that homework improves test scores, citing six studies that found no effect."" ""Refutes"" signals that the author is:",Accepting the claim as true.,Arguing against it without settling it.,Disproving the claim with evidence.,Setting the claim aside for now.,C,Trap: this reverses the verb. Refutes rejects the claim rather than granting it.,"Trap: this is challenge, dispute, or rebut. Refute goes further: it means the disproof succeeded.","Correct. Refute means disprove. The follow-up (six studies that found no effect) supplies the evidence that makes it a disproof, not just an objection.",Trap: refuting engages the claim head-on with evidence rather than postponing it.,C3.1-academic-verbs,hard
c3-1_q08,8,"A test question asks: ""What does the author do in paragraph 2?"" Which answer choice is in the format these questions reward?",Describes a scene using colorful metaphors.,Acknowledges a counterargument and answers it.,Tells a long story about the author's childhood.,Presents a chart of the survey results.,B,"Trap: this names a technique, not a job. Paragraph-function answers describe the argumentative move, not the writing style.","Correct. The rewarded format is academic verb plus content, twice: what the paragraph does, then what it does next. Acknowledges and answers are both argument moves.","Trap: telling a story is a real paragraph job, but this answer stays at plot level and never names the argumentative purpose.",Trap: this names visible page content rather than a function. Paragraph-function answers say what the writing accomplishes.,C3.1-academic-verbs,hard
c3-1_q09,9,"Read: ""The author asserts that climate change is accelerating, illustrates the claim with three case studies, acknowledges critics who dispute the data, and concludes with a call for action."" Which academic verb signals the author's MOST CAUTIOUS move?","""acknowledges""","""illustrates""","""asserts""","""concludes""",A,"Correct. Acknowledging critics is the cautious move: the author admits opposing views exist before pushing on. Caution shows up as ground given, not confidence shown.","Trap: illustrating feels modest because it uses examples, but supplying support is a confident move, not a cautious one.",Trap: asserts is the boldest verb here. Confident claiming is the opposite of caution.,"Trap: a conclusion sounds measured, but this one is a call for action, which is confident rather than cautious.",C3.1-academic-verbs,hard
c3-1_q10,10,"Read: ""The author contrasts the new policy with the previous one, emphasizing the increase in cost and dismissing concerns about the timeline."" Which verb signals that the author is REJECTING something?","""contrasts""","""emphasizing""","""dismissing""","""concerns""",C,Trap: contrasting sets two things side by side to show difference. Showing a difference is not rejecting either side.,"Trap: emphasizing feels forceful, but weight is being added, not taken away. The author accepts the cost point.",Correct. Dismissing means rejecting as not worth attention. The author brushes the timeline worries aside instead of answering them.,"Trap: concerns is what gets rejected, not the rejecting itself. Look for the author's verb, not the target.",C3.1-academic-verbs,hard
