quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
b1-2_q01,1,What's the relationship between a main idea and a supporting detail?,"A detail helps prove the main idea, which is the larger claim.",A main idea and a supporting detail do the same job in a text.,A detail states the author's view; a main idea states the facts.,A main idea appears first; supporting details always follow it.,A,"Correct. Details do the proving and the main idea is what gets proved, which is why a true detail can still be the wrong answer.","Tempting because both are drawn from the same article and both are true. But they sit at different levels: one supports, the other is supported.","Tempting because main ideas can read like the author's angle. But the difference is scope, not opinion versus fact.","Tempting because many articles are organized that way. But placement varies, and a main idea can appear last or not be stated at all.",B1.2-main-idea-vs-detail,easy
b1-2_q02,2,Why is a true DETAIL a common wrong answer on main-idea questions?,"Details are usually stated in more memorable, concrete language.",Students recall the detail and skip checking whether it covers all.,Details are often placed in the article's opening paragraph.,Details tend to be worded more simply than the main idea is.,B,"Tempting, and concreteness is part of why details stick. But memorability only explains the pull; the error is failing to test coverage.","Correct. Recognition feels like correctness, so the fix is a deliberate check: does this cover the whole article, or only one paragraph of it?","Tempting because opening sentences do attract attention. But details appear throughout, and position is not what makes them tempting.","Tempting because simpler wording can feel more approachable. But a detail can be complex and still be a detail, since scope is what matters.",B1.2-main-idea-vs-detail,easy
b1-2_q03,3,"Article: ""Honeybee populations have declined since 2006. Pesticides are a major cause. Habitat loss has reduced food sources. The Varroa mite has spread widely. Researchers say solving the decline requires addressing all three at once."" Which is the MAIN IDEA?",Bee decline has several causes that must be addressed together.,Pesticides are the single largest cause of honeybee decline.,The Varroa mite has spread widely through bee populations.,Habitat loss has reduced the food sources available to bees.,A,Correct. It carries both halves of the article: the multiple causes and the researchers' claim that no single fix will work.,"Tempting because the article calls pesticides ""a major cause"" and lists them first. But it never ranks them, and singling one out contradicts the point.","Tempting because it is true and specific. But it is one cause of three, which makes it a detail supporting the larger claim.","Tempting because it is accurate and explains real harm. But like the others it covers one cause, not the article's whole argument.",B1.2-main-idea-vs-detail,medium
b1-2_q04,4,"Article: ""Honeybee populations have declined since 2006. Pesticides are a major cause. Habitat loss has reduced food sources. The Varroa mite has spread widely. Researchers say solving the decline requires addressing all three at once."" Which of these is a SUPPORTING DETAIL?",Bee decline has several causes that must be addressed together.,Habitat loss has reduced the food sources available to bees.,No single fix will solve the decline in honeybee populations.,The article is mainly about declining honeybee populations.,B,"Tempting because it is true and comes straight from the article. But it is the main idea itself, and the question asks for a detail.","Correct. It names one specific cause, which is the level a detail works at: it supports the ""multiple causes"" claim without stating it.","Tempting because it sounds narrower than the full main idea. But it is the second half of that claim, restated.","Tempting because it is accurate about the article. But it names the subject, which makes it the topic rather than a detail.",B1.2-main-idea-vs-detail,medium
b1-2_q05,5,"Article: ""Public libraries are quietly changing. They still loan books, but they also provide internet access, job-training programs, social services for the unhoused, and meeting space for community groups."" Which is the MAIN IDEA?",Public libraries continue to loan books to their patrons.,Libraries now offer job-training programs to the community.,Libraries have expanded well beyond lending books alone.,Libraries provide meeting space for local community groups.,C,"Tempting because the article says it directly. But it is the baseline the passage contrasts its change against, so it misses the shift entirely.","Tempting because it is a concrete new service, and new services are the point. But it is one item on a list of four.","Correct. It names the change the article documents, and every service listed works as evidence for exactly this claim.","Tempting because it is true and appears last, where main ideas often sit. But it remains one example of the broader expansion.",B1.2-main-idea-vs-detail,medium
b1-2_q06,6,"How can you test whether an answer is the main idea, not a detail?",Ask whether it covers the whole article or only one piece.,Ask whether the article states the answer in those exact words.,Ask whether the answer appears in the opening paragraph.,Ask whether the answer is the broadest statement offered.,A,"Correct. Run the coverage test: if a sentence in the article falls outside the answer, the answer is too narrow to be the main idea.","Tempting because main ideas are often stated outright. But a main idea can be implied, and details are stated word-for-word too.","Tempting because articles often open with their central claim. But plenty build to it instead, so position is unreliable.","Tempting because main ideas are broader than details, so this is nearly right. But the broadest option is often the topic or a vague generality.",B1.2-main-idea-vs-detail,medium
b1-2_q07,7,"Article: ""Many readers assume audiobooks are easier than reading. Studies suggest something more interesting: comprehension is about the same for both, but the SKILLS used differ. Audiobook listeners use prosody (pauses, emphasis); readers use rereading and pacing. The mode shapes the strategy."" Which is the MAIN IDEA?",Recent studies have produced surprising findings about reading.,"Audiobook listeners rely on prosody, such as pauses and emphasis.",Audiobooks are an easier way to take in a book than reading is.,"Comprehension is similar across modes, but the strategies differ.",D,"Tempting because the article does present a surprising result. But it is generic, and it never says what the studies found.","Tempting because it is accurate and specific. But it is one side of the comparison, which makes it a supporting detail.","Tempting because the article opens with this idea. But it is the assumption the passage corrects, not what it concludes.","Correct. It holds both halves of the finding: comprehension is comparable, and the strategies used differ by mode.",B1.2-main-idea-vs-detail,hard
b1-2_q08,8,"Read: ""For most of the 20th century, U.S. urban planners assumed wide roads would solve traffic. By the 1990s, evidence showed the opposite — wider roads attract more cars, an effect called induced demand. Cities are now investing in alternatives: bus lanes, bike lanes, walkable streets."" Which answer is a SUPPORTING DETAIL, not the main idea?",Urban planning shifted to multiple modes after the old view failed.,"Planners once favored wide roads, but cities now fund alternatives.","Wider roads attract more cars, an effect called induced demand.",The long-held assumption about wide roads has been overturned.,C,"Tempting because it sounds like a detail about planning history. But it traces the article's whole arc, which makes it a main-idea statement.","Tempting because it names specifics like funding alternatives. But it spans the full before-and-after, so it covers the whole article.","Correct. It is the single finding that explains why the old approach failed, and it supports the larger claim rather than being it.","Tempting because it is short enough to look like a detail. But it states the central claim, and brevity does not make something a detail.",B1.2-main-idea-vs-detail,hard
b1-2_q09,9,"If you read an article quickly and remember only ONE specific fact, what's the risk when you answer a main-idea question?",You may misremember the fact and choose an inaccurate answer.,"You may pick that fact, though one fact is usually a detail.",You may pick an answer that the article never actually mentions.,You may choose the broadest option available to play it safe.,B,"Tempting because hasty reading does produce faulty recall. But the trap works even when your memory is perfectly accurate, since a true fact can still be a detail.","Correct. Single-fact recall produces detail-as-main-idea errors, so the fix is to ask what claim the article as a whole was making.","Tempting because rushed readers do sometimes pick unfamiliar answers. But recall errors usually pull you toward what you remember, not away from it.","Tempting because guessing broad is a real fallback. But the risk here comes from remembering too little, which pulls toward the narrow fact.",B1.2-main-idea-vs-detail,medium
b1-2_q10,10,"Article: ""A new study finds that students who get eight or more hours of sleep score higher on tests, miss fewer days of school, and report better moods than peers who sleep less. The findings cut across grade levels and income brackets. Researchers urge schools to start later in the morning."" Which is the MAIN IDEA, not a detail?",Students who sleep less tend to miss more days of school.,Researchers recommend that schools start later in the morning.,Student sleep habits are connected to performance in school.,"Sleep is linked to better outcomes, prompting later start times.",D,"Tempting because it is a real finding stated in the article. But it is one of three outcomes, which makes it a supporting detail.","Tempting because it closes the article, and recommendations often carry the point. But it is what follows from the findings, not the findings themselves.","Tempting because it is true and sounds like a summary. But it is vague to the point of being the topic, with no claim about what the link shows.","Correct. It holds the pattern across several measures and the recommendation that follows, which together cover the whole article.",B1.2-main-idea-vs-detail,hard
