quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
a2-1_q01,1,What's the formula for an inference?,A specific text clue plus reasoning that connects it to a conclusion.,A prediction about what the next scene in the story will reveal.,A conclusion that feels right to most careful readers of the story.,The most dramatic reading the passage could reasonably support.,A,"Correct. An inference has two parts. The clue is a specific detail you can point to in the text, and the reasoning explains why that detail leads to your conclusion. Missing either part means it isn't an inference yet.",Tempting because inferences and predictions both go beyond the words on the page. But a prediction reaches forward to what hasn't happened; an inference explains what the text is already showing you.,"Tempting because good inferences do feel right. Feeling right is a result of solid evidence, not a substitute for it. Without a named clue you cannot defend the conclusion to a reader who disagrees.","Tempting because strong interpretations often sound bold. But drama is not the standard; fit with the text is. The best inference is the one the clues support, however quiet it turns out to be.",A2.1-inference-clue-reasoning,easy
a2-1_q02,2,"If you can't point to a specific clue from the text, what have you done?",Made an inference that is strong but needs more explaining.,"Made a guess, because an inference has to rest on a clue.","Read closely, since the clue is probably implied rather than stated.","Identified a theme, which works differently from an inference.",B,Tempting because you may well be right about the character. But an unsupported right answer still isn't an inference. Explaining more only helps once you have a clue to explain from.,"Correct. An inference equals clue plus reasoning. With no clue to point to, there is nothing anchoring your conclusion to this text, so what you have is a guess about the story.",Tempting because inferences do deal with implied meaning. But implied meaning is still carried by specific words. Careful reading produces the clue rather than excusing its absence.,"Tempting because theme is also unstated and inferred. But theme still requires supporting details from the text, so it doesn't escape the evidence requirement either.",A2.1-inference-clue-reasoning,easy
a2-1_q03,3,"Read: ""Mia checked the clock for the third time and tapped her pencil against the desk."" Which is the STRONGEST inference?",Mia is anxious about how much time is left.,Mia keeps looking at the clock and tapping her pencil.,Mia dislikes this class and wants to leave school.,Mia is waiting for someone who has not arrived yet.,A,"Correct. Checking the clock repeatedly and tapping a pencil are outward signs of restlessness, and repeated clock-checking ties that restlessness specifically to time. Naming clue plus reasoning is what makes this defensible.","Tempting because it stays completely faithful to the text. But it only restates the two actions in new words. An inference has to say what the actions mean, not repeat what they were.","Tempting because bored students do watch clocks. But nothing here names the class or her feelings about it, so this imports outside experience the passage never supplies.","Tempting because waiting also produces clock-checking. But the passage introduces no other person, so this invents a cause the text gives no clue for.",A2.1-inference-clue-reasoning,medium
a2-1_q04,4,"Read: ""'I'm fine,' she said, but she didn't look up from her phone."" Which inference is BEST supported?",She would rather look at her phone than talk right now.,She is angry at the narrator for interrupting her.,She is reading a message that has upset her badly.,"She is probably not fine, whatever her words claim.",D,"Tempting and partly true, since she does keep her eyes down. But it treats the phone as the point. The clue is the mismatch between what she says and what she does, which says something about her, not the phone.",Tempting because anger is one thing a curt reply can hide. But anger is only one of several feelings that fit; the text narrows it no further than 'not fine.',"Tempting because the phone is right there in the sentence. But the text never says what is on the screen, so this adds a specific cause the passage does not provide.","Correct. The clue is the gap between her dialogue and her behavior: she claims to be fine while refusing eye contact. When words and actions conflict, the actions are usually the more honest signal.",A2.1-inference-clue-reasoning,medium
a2-1_q05,5,"Read: The kitchen was clean - too clean. The counters had been wiped twice and the dish rack was empty. What does the narrator's word choice ""too clean"" most strongly suggest?",The narrator resents being the one who cleans the kitchen.,Someone has cleaned the kitchen very recently and thoroughly.,The cleanliness is odd enough that it should be noticed.,The kitchen is normally much messier than it is today.,C,"Tempting because 'too' carries irritation and irritation suggests a complaint. But the narrator never mentions doing the work or minding it, so this attaches a grievance the text doesn't supply.","Tempting because it is plainly true, and the wiped counters support it. But it explains only 'clean' and ignores 'too,' which is the word doing the interpretive work.","Correct. 'Too clean' marks the detail as excessive rather than pleasant. The narrator is flagging the cleanliness as a signal worth reading, not simply describing a tidy room.",Tempting because 'too clean' does imply a contrast with the usual state. But that is background the reader supplies; the narrator's point is that today's state is worth suspecting.,A2.1-inference-clue-reasoning,medium
a2-1_q06,6,"Read: ""'He'll come,' Dad said, glancing at the door for the fourth time that hour."" Which inference is BEST supported?",Dad is less certain than his confident words claim.,Dad is angry that the person is running so late.,Dad has been watching that door for the whole hour.,Dad is trying to keep someone else from worrying.,A,Correct. The repeated glances suggest that Dad’s behavior is less confident than his words. The contrast supports uncertainty without proving exactly what he feels.,Tempting because waiting often turns into irritation. But nothing in his words or actions is sharp or accusing; glancing shows watchfulness rather than anger.,Tempting because it sticks close to 'four times that hour.' But it just recounts the action. An inference names the feeling behind the glancing rather than tallying it.,"Tempting because 'He'll come' does sound like reassurance offered aloud. But the text names no listener who needs calming, so this builds a purpose the passage doesn't show.",A2.1-inference-clue-reasoning,medium
a2-1_q07,7,"A student writes: ""I infer that the character is scared because that's how characters usually feel in stories like this."" What's wrong with this inference?","The conclusion is wrong, since fear rarely fits a scene like this.",The student uses a genre expectation without checking this text’s clues.,The student should name the emotion more precisely than scared.,The student is predicting a feeling instead of proving one.,B,"Tempting because a bad reason often signals a bad conclusion. But fear may well be right here; the student simply never showed it from the text. Judge the reasoning, not the guess.","Correct. Familiar story patterns can suggest “scared” as a possibility, but the student must point to this character’s words, actions, or setting before accepting it.",Tempting because vague emotion words do weaken answers. But precision can't rescue reasoning that never touched the text; a sharper wrong-sourced word is still wrong-sourced.,"Tempting because genre expectations do feel like prediction. But the student is describing a present feeling, not a future event. The problem is the source of the evidence, not its timing.",A2.1-inference-clue-reasoning,medium
a2-1_q08,8,"Read: ""She set the photograph face down on the nightstand and turned off the lamp."" Which inference is BEST supported by these two actions together?",She is finished with the person in the photograph for good.,She has chosen not to look at the photograph tonight.,She turned the photograph over and then turned off the lamp.,She is simply tired and getting herself ready for sleep.,B,"Tempting because turning a photo face down does suggest rejection. But she keeps it on the nightstand rather than putting it away, and one night's avoidance is not a permanent decision.","Correct. Placing the photo face down and killing the light both remove it from view, and two actions pointing the same direction make a stronger inference than either one alone would.",Tempting because it is completely accurate to the text. But it only puts the two actions in order. Interpretation means saying what the pair of actions reveals about her.,"Tempting because lamps do get switched off at bedtime. But that explains the lamp and ignores the photograph, and only the photograph makes this moment worth writing down.",A2.1-inference-clue-reasoning,hard
a2-1_q09,9,What's the clearest sign that an inference is too WEAK to defend?,It is stated in fewer words than the question seems to want.,"It uses hedging words such as maybe, probably, or seems.",You cannot name a specific detail in the text that supports it.,Another reader looking at the same passage reached it too.,C,"Tempting because short answers can look underdeveloped on a test. But a one-line inference resting on a real clue beats a long one resting on nothing; length is presentation, not evidence.","Tempting because hedges can sound unsure. But careful readers hedge honestly when a text supports a conclusion only partly, so hedging often marks precision rather than weakness.","Correct. Evidence is what makes an inference defensible, so its absence is the failure that matters. With no clue to point to, you cannot answer a reader who simply disagrees with you.","Tempting because copying someone else is a real worry. But independent readers landing on the same reading is a sign the clues genuinely point that way, which strengthens the inference.",A2.1-inference-clue-reasoning,hard
a2-1_q10,10,"Read: “He read the letter, then read it again. He didn’t say anything. After a long moment, he put the letter in his pocket instead of back on the table.” Which clue best shows that he is not finished thinking about the letter?","""read the letter, then read it again""","""After a long moment,"" he finally moved the letter","""He didn't say anything"" in response","""in his pocket instead of back on the table""",D,Tempting because rereading is a genuine clue that the letter matters to him. But rereading only shows the letter is hard to absorb; it doesn't show what he decided to do about it.,"Tempting because the pause marks how heavily the letter landed. But a long moment measures how much time passed, not what the letter meant or how he chose to respond to it.","Tempting because silence is loud in a scene like this. But silence is open to many readings, from shock to grief to anger, and it doesn't narrow the reaction down on its own.","Correct. 'Instead of back on the table' marks a choice, since the table was the ordinary option and he rejected it. Keeping the letter close signals he isn't finished with it.",A2.1-inference-clue-reasoning,hard
