quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
a1-2_q01,1,What's the most reliable test for whether a theme is defensible?,Several separate moments in the story support the same idea.,The idea is stated outright by a character near the ending.,The idea explains why the main character behaves as she does.,The idea is one most readers would agree is generally true.,A,"Correct. A theme is a claim about the whole story, so the whole story has to back it. When separate scenes point the same way, the pattern is the author's design rather than your impression of one moment.","Tempting because a character's line can sound like the moral. But characters can be wrong or self-serving, and a theme spoken once is still supported once. Test any such line against the rest of the story.","Tempting because motive and theme are closely related. But explaining one character is characterization. A theme has to hold across the story, including scenes that character isn't in.","Tempting because themes are broad statements about life. But a true-sounding idea can be imported from outside; the test is whether this story earns it, not whether people agree with it.",A1.2-theme-multiple-details,easy
a1-2_q02,2,"If a story gives you several important moments, but your theme fits only ONE of them, what is the most likely problem?","The theme is right, but the story was too short to develop it.",You have taken a single scene's lesson and called it the theme.,The theme is worded too broadly to match a specific story.,You chose a moment from the ending instead of the beginning.,B,"Tempting because short stories have less room. But this stem says the story contains several important moments, so the theme should account for more than one of them.","Correct. When a theme fits only one scene while the rest of the story builds something else, you have probably mistaken that scene’s lesson for the whole text’s message.","Tempting because vague themes are a genuine weakness. But an over-broad theme normally matches too many moments, not too few. Thin support points to a scene-sized idea instead.",Tempting because endings do carry weight and can seem to settle meaning. But where the moment sits matters less than how many moments there are; one ending line is still single support.,A1.2-theme-multiple-details,easy
a1-2_q03,3,"Read: A family argues at dinner. The teenager stays quiet, takes a walk afterward, and writes a letter the next morning to her grandfather, whom she hasn't spoken to in a year. The grandfather calls back the same day. The story ends with the two of them planning to meet. Which of these themes is BEST supported by the WHOLE story?",Reaching across a long silence is hard but worth the risk.,Family conflict is what pushes people to repair old bonds.,Writing a letter is the best way to reconnect with someone.,Time spent alone helps people work out what they should do.,A,"Correct. Four separate moments feed this one idea: the year of silence, the difficult letter, the grandfather's quick call, and the plan to meet. Support spread across the whole arc is what makes a theme defensible.","Tempting because the argument does open the story and seems to cause what follows. But it treats one scene as the engine of the whole; the story spends its length on the reaching out, not the quarrel.","Tempting because the letter is the story's turning point. But it fixes on the method rather than the meaning, and the story's other moments are about the distance, not the stationery.","Tempting because the walk sits between the argument and the letter. But that is one brief moment. A theme resting on the walk alone leaves the silence, the call, and the ending unexplained.",A1.2-theme-multiple-details,medium
a1-2_q04,4,"Read: A boy moves to a new town. He meets three new neighbors. The first laughs at his accent. The second invites him to a school event. The third sits with him at lunch. By the end, he says he's starting to feel at home. Which theme is BEST supported?",A place becomes home when people are unkind to newcomers.,Whether a place feels like home depends on how people treat you.,People who move to new towns will eventually make real friends.,First impressions of a new place are usually the wrong ones.,B,Tempting because the first neighbor really does laugh at him. But building a theme on the one unkind neighbor ignores the two welcoming ones and contradicts his closing line about feeling at home.,"Correct. All three neighbors and the boy's closing remark support this, and it covers the mockery as well as the kindness. A theme should account for the whole pattern, not just its pleasant half.","Tempting because the arc does end warmly and this sounds encouraging. But it is a general promise about people who move, not a claim this story proves; the story is about what made the difference.","Tempting because the unfriendly first meeting is followed by better ones. But the story never says his early view was mistaken, and the closing detail is about welcome, not about misjudging.",A1.2-theme-multiple-details,medium
a1-2_q05,5,"Read: A young runner trains for months. Her coach pushes her. Her parents worry. Her best friend says she's working too hard. On race day, she runs well - and then keeps running for months afterward because she now loves the training, not the medals. Which theme is BEST supported?",Hard training is what turns an ordinary runner into a winner.,The people around us rarely understand what we truly want.,What starts us on something may not be what keeps us at it.,Success feels less satisfying than people expect it to feel.,C,"Tempting because months of training and a good race are both in the text. But this stops at the race and misses the ending, where she keeps running after the medal is already won.","Tempting because the parents and the friend both doubt her. But they are two details in a longer arc, and the story never shows them proved wrong; her change of heart is the real subject.","Correct. The whole arc supports this: she begins chasing medals, succeeds on race day, then keeps running for the training itself. The shift in motive is what every stage of the story builds toward.",Tempting because she does move past medals by the end. But the story never says the win disappointed her. She adds a new reason to run rather than finding the old reward hollow.,A1.2-theme-multiple-details,medium
a1-2_q06,6,"Across a story, the same worn photograph appears in three different scenes. What does this most safely signal?",The object is important and may carry meaning beyond itself.,The object only makes the setting feel more realistic.,The object must reveal one character’s personal history.,The object must later become important to the main plot.,A,"Correct. Repetition signals importance. Check the surrounding scenes before deciding whether the photograph works as a symbol, a theme clue, a plot clue, or more than one of these.",Tempting because concrete objects can make a setting believable. But “only” is too narrow when the author deliberately returns to the object.,Tempting because a worn photograph may connect to someone’s past. But recurrence alone does not prove whose history it reveals.,Tempting because repeated objects often matter to the plot. But “must” goes too far; the repetition may mainly build meaning or emotion.,A1.2-theme-multiple-details,medium
a1-2_q07,7,"A student picks the theme: ""Friendship is important."" The story does include friendship - but the student can only point to ONE scene that shows it. What's the better next move?",Reread that scene closely to find more evidence inside it.,Find a theme the story supports across several different scenes.,Add detail to the theme so it names the friendship in the story.,Add more impressive wording without checking the rest of the story.,B,Tempting because close reading is usually the right instinct. But one scene can only ever be one piece of support; mining it harder cannot make a whole-story claim defensible.,"Correct. The fix is to let the evidence choose the theme rather than defending a claim the text does not back. Ask what idea the story returns to, then state that as the theme.",Tempting because vague themes like this one are genuinely weak. But sharpening the wording does not add evidence; a more specific theme with one supporting scene is still under-supported.,Tempting because stronger wording can make an answer sound better. But style cannot replace evidence from more than one part of the story.,A1.2-theme-multiple-details,medium
a1-2_q08,8,"A story has TWO defensible themes, each supported by different details across the text. What does this most likely indicate?",The reader has misread one of the two themes and should recheck.,The two themes are probably different wordings of one idea.,The story is unfocused and is trying to say too much at once.,Rich stories often carry more than one supported theme at a time.,D,"Tempting because tests usually want one right answer. But the question says both are supported by evidence. A second defensible theme is a fact about the story, not a mistake by the reader.","Tempting because related themes often overlap in wording. But the question specifies that different details support each one, which is exactly what shows they are separate claims.",Tempting because too many ideas really can scatter a weak story. But supported themes are a sign of depth; novels are built to carry several at once without losing focus.,"Correct. Full-length stories usually sustain several themes together. On a test you pick the one best supported by the evidence given, but that does not make the other one false.",A1.2-theme-multiple-details,medium
a1-2_q09,9,"Read: An older sister teaches her younger brother to ride a bike, do a card trick, and tie a knot. He struggles and fails several times. Each week she returns and practices with him again. By the end of the month, he can do all three. Which theme is best supported by the whole pattern?",Good teachers never become frustrated with struggling learners.,Some skills are naturally easier to learn than others.,Patient support can help someone keep going through failure.,One hard skill makes every later skill easier.,C,"Tempting because the sister stays patient. But “never” is too absolute, and the passage does not describe every feeling she has.","True in the passage, but incomplete. Different difficulty is part of the setup; the repeated support and eventual success carry the larger message.","Correct. The brother fails more than once, the sister keeps returning, and he eventually learns. The whole pattern supports patient support through failure.",Tempting because the tasks happen in order. But the passage never shows that learning one skill makes the next one easier.,A1.2-theme-multiple-details,hard
a1-2_q10,10,A student writes a beautiful-sounding theme that's only supported by the story's final sentence. Which is the better critique?,The wording is too polished to describe an ordinary story.,A final sentence is a conclusion and cannot state a theme.,The theme should be stated in the student's own plain words.,The theme needs support from more than one line of the story.,D,"Tempting because fine phrasing can hide thin thinking. But there is no rule against writing well, and rewording it plainly would leave the same single line of support underneath.","Tempting because last lines can feel too neat to trust. But closing sentences often do gesture at theme; the problem is relying on that line alone, not the fact that it ends the story.",Tempting because paraphrasing does prove real understanding. But this student already wrote an original sentence. Restating it differently would not add the missing evidence.,"Correct. Theme is a claim about the whole text, so one line cannot carry it however well it sounds. The student should test the idea against earlier scenes and keep it only if they support it too.",A1.2-theme-multiple-details,medium
