quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
b4-1_q01,1,Which of these best signals a skeptical tone rather than a neutral one?,"Long, complex sentences packed with detail",Facts and statistics drawn from real research,Distancing words such as “supposedly” or “so-called”,Direct quotations from the people involved,C,"Tempting because dense sentences can feel like an author is building a case. But sentence length is a style choice, not an attitude — neutral and skeptical writing can both run long.","Tempting because piling up numbers can feel like an author is proving a point. But both neutral and skeptical writing use facts. What matters is how the author FRAMES them, not that they appear.",Correct. These words often hold a statement at a distance and can signal doubt. Still check the surrounding contrast and framing; no single word decides tone automatically.,Tempting because quotation marks around a word can signal doubt. But direct quotations appear in both neutral and skeptical writing; the attribution verb around them does the tone work.,b4.1-neutral-vs-skeptical,easy
b4-1_q02,2,Which reporting verb is most neutral by itself?,Allegedly,Claimed,Announced,Supposedly,C,"""Allegedly"" signals uncertainty and distances the writer from the claim — it is a hedge, not neutral attribution.","The closest call of the three wrong answers. ""Claimed"" isn't a doubt-word the way ""supposedly"" is; it means stated as true. But it leans skeptical because writers reach for it when they don't vouch for the statement, so it's less neutral than ""announced.""","Correct. ""Announced"" reports that someone made a statement without adding doubt. Note the phrase ""by itself"": even a neutral verb can sit inside a skeptical passage if the framing around it undercuts the speaker.","""Supposedly"" explicitly signals doubt about what follows — one of the strongest hedges in English.",b4.1-neutral-vs-skeptical,easy
b4-1_q03,3,"Read: ""The mayor declared the project a success after just two months, though several sections remain unfinished."" What is the tone?",Neutral,Skeptical,Admiring,Hostile,B,"Tempting because ""declared"" can be plain reporting. But ""though several sections remain unfinished"" sets the mayor's claim against the facts, which is not neutral reporting.","Correct. The doubt comes from the contrast, not from one word: the success claim is placed against unfinished work and a very short two months.","Tempting because ""success"" is a positive word. But the sentence undercuts the claim rather than admiring it.",Hostile tone attacks or condemns. This sentence quietly questions the claim instead of attacking the mayor.,b4.1-neutral-vs-skeptical,medium
b4-1_q04,4,"Read: ""The library will close at 6 PM on weekdays starting Monday."" What is the tone?",Skeptical,Excited,Critical,Neutral,D,"Tempting because a change in hours might annoy readers. But your feelings about the news aren't the tone — there's no hedge, no contrast, and no loaded word anywhere in the sentence.","Tempting because news announcements can carry enthusiasm. But ""will close"" is matter-of-fact; excitement would need intensifiers or exclamation.",Tempting because reporting a reduction in service can feel like a complaint. But the author neither praises nor blames — the sentence states a schedule and stops.,"Correct. A plain reporting verb, no hedging, no contrast word, no loaded adjectives. When nothing in the language reveals an attitude, the tone is neutral.",b4.1-neutral-vs-skeptical,easy
b4-1_q05,5,"Read: ""Officials announced that the new vaccine was 'highly effective.' Independent researchers, however, found the trial data was based on a sample of only 200 people, less than a third of similar trials."" What is the author's tone?","Neutral, since both sides are reported","Skeptical, undermining the official claim","Admiring, celebrating a medical advance","Alarmed, warning readers about danger",B,"The strongest wrong answer, because two sides genuinely do appear. But balance isn't just presence — ""however"" plus ""only"" plus ""less than a third"" all push one way. The author gives the last word to the doubters.","Correct. Three signals stack: quotation marks distance the author from ""highly effective,"" ""however"" introduces a contradicting fact, and ""only"" diminishes the sample. Stacked signals are what make it skeptical.",Tempting because a highly effective vaccine is good news. But the praise is in quoted words the author immediately undercuts — reporting a claim isn't endorsing it.,"Tempting because questioning vaccine data sounds urgent. But the author raises a methodological doubt calmly; alarm would need words like ""dangerous"" or ""risk.""",b4.1-neutral-vs-skeptical,medium
b4-1_q06,6,"Read: ""The school board voted 5-2 to extend the lunch period by ten minutes. The change begins next semester. Officials said the longer period gives students more time to eat and reduces hallway crowding."" What is the tone?",Neutral,Skeptical,Critical,Approving,A,"Correct. Plain reporting throughout: the vote, the timeline, and the officials' reasoning, with ""said"" as neutral attribution. The author reports the rationale without endorsing or doubting it.","Tempting because the 5-2 vote shows disagreement, and disagreement can look like doubt. But the split belongs to the BOARD, not the author — reporting a divided vote accurately is still neutral.","Tempting because giving officials the last word can feel like the author is setting them up. But no contrast word follows, and no fact is offered against them; the paragraph simply ends.","Tempting because the stated reasons sound sensible. But they're attributed to officials with ""said"" — the author passes them along without adding praise.",b4.1-neutral-vs-skeptical,easy
b4-1_q07,7,"Read: ""The company assured customers their data was secure. Just six months later, hackers accessed records from over 100,000 accounts."" What creates the skeptical tone here?","The verb ""assured"" signals doubt by itself",The contrast between the promise and the outcome,"The precise figure of 100,000 accounts",The absence of any quotation from the company,B,"This is the trap, and it's worth getting right: ""assured"" expresses CONFIDENCE, not doubt. It's a strong, positive verb — the company was being reassuring. No single verb automatically creates skepticism.","Correct. Tone comes from three things together: a word's usual force, the surrounding contrast, and the overall framing. ""Assured"" is confident on its own, but placing it against ""just six months later"" and a breach turns it ironic. The author lets the events undercut the promise.",Tempting because a large number feels dramatic. But precise figures are standard neutral reporting; the same number in a plain news report would carry no attitude at all.,Tempting because quoting can distance an author from a claim. But nothing here depends on a missing quotation — the irony would survive even if the company's exact words appeared.,b4.1-neutral-vs-skeptical,medium
b4-1_q08,8,"Read: ""The new park, supposedly designed to serve the whole community, has been criticized by residents in the eastern half of the city who say it is inaccessible from their neighborhoods."" What is the tone?",Skeptical,Neutral,Hostile,Sympathetic,A,"Correct. ""Supposedly"" explicitly hedges the park's stated purpose, and the reported criticism reinforces the doubt. Here the hedging word and the framing point the same way, which is what makes the reading secure.","Tempting because the criticism is attributed to residents rather than claimed by the author. But ""supposedly"" is the author's own word, and it does too much work for this to be neutral.",Tempting because the sentence clearly leans against the park. But hostility would attack directly; this author hedges and reports others' complaints instead.,Tempting because the author does seem to side with the excluded residents. But sympathy would dwell on their hardship; the sentence targets the gap between the park's claim and its reality.,b4.1-neutral-vs-skeptical,medium
b4-1_q09,9,"A student says: ""This passage uses big words like 'compounding' and 'mitigation,' so the tone must be skeptical."" What is wrong with this reasoning?",Big words are a signal of neutral tone instead,Vocabulary never matters when judging any tone,The passage is too short to judge its tone at all,"Technical words show subject matter, not attitude; check wording and framing.",D,Tempting because it corrects the student. But it repeats the same mistake in reverse — difficult vocabulary doesn't reliably signal neutral tone either. The vocabulary level simply isn't the evidence.,"Tempting because it sounds like a firm rule, and rules are easy to remember. But it overcorrects: word choice is central to tone. Difficulty is the wrong measure; connotation and framing still matter.",Tempting because more text usually gives more evidence. But length isn't the flaw here — the student's reasoning would be wrong in a passage of any length.,"Correct. Words such as “compounding” and “mitigation” identify the subject. Skepticism comes from how claims are framed—through distancing, contrast, irony, or other attitude signals.",b4.1-neutral-vs-skeptical,hard
b4-1_q10,10,"Read: ""The startup unveiled what it called a 'revolutionary' new feature on Monday, though early users reported it was nearly identical to a competitor's product launched last year."" Which words are the author's SIGNALS of doubt, rather than the facts being reported?","""what it called"" and ""though""","""unveiled"" and ""revolutionary""","""early users"" and ""reported""","""nearly identical"" and ""last year""",A,"Correct. ""What it called"" hands the word ""revolutionary"" back to the startup instead of endorsing it, and ""though"" sets up the contradiction. These are the author's framing choices.","Tempting because ""revolutionary"" is the biggest claim in the sentence. But it's the STARTUP's word, quoted, not the author's; ""unveiled"" is ordinary product-launch vocabulary that carries no doubt.","Tempting because these users supply the damaging information. But ""reported"" is neutral attribution and ""early users"" merely names who spoke — the doubt lives in how the author frames what they said.","A strong choice — ""nearly identical"" and ""last year"" really do undercut the claim. But those are the reported facts. The question asks which words show the author framing them doubtfully.",b4.1-neutral-vs-skeptical,hard
