quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
a4-1_q01,1,What's the difference between topic and tone in fiction?,Topic is what the text is about; tone is the attitude shown toward it.,Topic is how the narrator feels; tone is what the whole story is about.,Topic is stated directly; tone is always hidden from the reader.,Topic changes between scenes; tone stays the same all the way through.,A,"Correct. Topic is the subject—the WHAT. Tone is the attitude the language shows toward that subject. The same topic can be treated warmly, bitterly, humorously, or calmly.","This attaches the right two ideas to the wrong two words, which is the most common mix-up on this skill. Remember that the TOPIC is the subject you could name in one noun.","Tempting because tone does have to be inferred from word choice rather than announced. But it isn't hidden — the signals are right in the text, and topic can be implied too.","Tempting because scenes really do shift subjects. But tone can shift within a story as well, and topic often stays steady; neither one is fixed by rule.",A4-1-tone-vs-topic-fiction,easy
a4-1_q02,2,"Which of these is a TOPIC, not a tone?",Quietly nostalgic,Childhood summer,Openly bitter,Warmly tender,B,"This is a tone word: it names an attitude, a way of feeling about a subject, not the subject itself. You could feel nostalgic ABOUT a topic.","Correct. ""Childhood summer"" names a subject — the WHAT a story is about. Topics are usually nouns you could point at; tones are adjectives describing an attitude toward them.","This is a tone word: it names how a narrator feels about something, not the something. Bitterness is always bitterness about a subject.","This is a tone word: it describes an attitude of warmth and care toward a subject, rather than naming the subject itself.",A4-1-tone-vs-topic-fiction,easy
a4-1_q03,3,"Read: ""That summer we lived three blocks from the bakery, and the smell of bread woke us every morning."" The TONE of this sentence is best described as:",Nostalgic,Sorrowful,Resentful,Impatient,A,"Correct. ""That summer"" plus warm sensory detail plus ""every morning"" is the classic nostalgic structure — fondly remembered specifics from a time now past.","Tempting because looking back at a finished summer carries some ache, and nostalgia and sorrow do overlap. But sorrow needs a loss; this sentence dwells on pleasure, not on grief.","Tempting because ""we lived three blocks from"" could hint at a place the speaker didn't choose. But nothing complains — the bread waking them is offered as a good thing.","Tempting because being woken every morning could annoy someone. But the detail is the smell of fresh bread, which is offered as a gift rather than an intrusion.",A4-1-tone-vs-topic-fiction,medium
a4-1_q04,4,"Read: ""He spoke evenly, without raising his voice; each word landed with care."" How is the character speaking here?",Panicked,Measured,Careless,Furious,B,"Tempting because a scene with anger in it feels charged. But panic would show in rushed, broken prose; this sentence is deliberate and controlled.","Correct. ""Evenly,"" ""without raising his voice,"" and ""each word landed with care"" all describe controlled, deliberate delivery. Note this is how the CHARACTER speaks — the narrator is describing it, not judging it.","Tempting only if “evenly” is mistaken for lack of interest. “With care” shows control and attention, which is the opposite of careless.","Tempting because it borrows the CHARACTER's emotion. But that's the trap the prompt sets up: fury would show loss of control, and this sentence emphasizes restraint.",A4-1-tone-vs-topic-fiction,medium
a4-1_q05,5,"Read: ""Her grandmother's hands were old, twisted, the hands of someone who never reached for me."" The TONE here is best described as:",Tender,Neutral,Bitter,Pitying,C,"Tempting because grandmother scenes are usually warm, and ""hands"" invites affection. But the closing clause denies that warmth — she never reached for the narrator.","Tempting because the first half reads like plain physical description. But ""never reached for me"" is not neutral reporting; it's a complaint, and it colors the whole sentence.","Correct. ""Never reached for me"" reveals a wound. The narrator's attitude toward the grandmother is hurt and resentful, not loving — the closing clause is where the tone lives.","The closest wrong answer: ""old, twisted"" could invite sympathy for the grandmother. But the sentence turns to what SHE withheld, which makes it the narrator's grievance, not pity for her.",A4-1-tone-vs-topic-fiction,medium
a4-1_q06,6,"Read: Mia's grandmother died last year. Mia still keeps a list of every recipe Grandma taught her, taped to the inside of the cabinet door. She reads it before she cooks anything important. What is the TONE here?",Tender and reverent,Raw and grief-stricken,Flat and matter-of-fact,Wistful and regretful,A,"Correct. The ongoing care — keeping the list, taping it where she'll see it, reading it before anything important — treats the grandmother's memory with respect. Habits of care signal tenderness.","Tempting because a death opens the passage, and grief is a reasonable expectation. But the tone is calm and warm; Mia's routine shows steady devotion rather than raw sorrow.","The strongest wrong answer: the sentences ARE plain, with no emotional words. But the details chosen — ""every recipe,"" ""anything important"" — carry the warmth without announcing it.","Tempting because the memory does look back at someone lost. But regret means wishing something had been different, and nothing here is wished away; the list is used, not mourned.",A4-1-tone-vs-topic-fiction,medium
a4-1_q07,7,"A student answers a tone question with ""It's about a grandmother."" Why is this answer marked wrong?",The story is not really about a grandmother at all.,"""A grandmother"" is the topic of the story, not the tone.",The answer needs a quotation from the passage to support it.,The answer describes the grandmother instead of the narrator.,B,Tempting because a factual error would sink any answer. But the student may have the topic exactly right — the answer fails even when it's accurate.,"Correct. Tone questions need a tone word — tender, bitter, nostalgic — describing HOW the author feels about the grandmother. The student named the subject instead of the attitude.",Tempting because evidence does strengthen a tone answer. But a quotation would only prove the topic again; the answer would still be aimed at the wrong question.,"Tempting because tone does belong to the narrator, so the direction sounds right. But the flaw isn't which person is described — it's that a subject was given instead of an attitude.",A4-1-tone-vs-topic-fiction,medium
a4-1_q08,8,"Read: ""The cabin had been empty for years. Even the porch swing had given up swinging."" The narrator's word choice signals a TONE that is best described as:",Detached,Ominous,Amused,Wistful,D,"The strongest wrong answer: the sentences are short and unadorned, which can read as distance. But ""given up"" quietly grants the swing a feeling, and that word choice shows the narrator cares.","Tempting because empty buildings often open horror stories. But nothing here threatens; the emptiness is finished and sad, not waiting to spring on anyone.","Tempting because giving a porch swing a personality could be a joke. But ""given up"" names surrender rather than mischief, and years of emptiness set a somber frame.","Correct. The personification — the swing having ""given up"" — carries sadness into what could have been a plain description. That small choice is where the narrator's quiet grief shows.",A4-1-tone-vs-topic-fiction,hard
a4-1_q09,9,"A character says she is happy in a scene. The narrator describes her with words like ""thin smile,"" ""too-bright voice,"" and ""forced laughter."" What is the narrator's tone?",Celebratory of the character's good news,"Joyful, matching the character's own mood",Skeptical of the character's stated happiness,Tender toward a character who is struggling,C,"Tempting because the scene contains happiness. But celebration would amplify her joy with warm words; ""thin"" and ""forced"" shrink it instead.","The trap of taking the character at her word. She says she's happy — but the question asks about the NARRATOR, whose word choices push against her claim.","Correct. ""Thin,"" ""too-bright,"" and ""forced"" are all qualifiers that undercut what the character says. The narrator's diction signals doubt that the happiness is genuine.","The most sophisticated wrong answer: the narrator does seem to see through her, which could be sympathy. But tenderness would protect her; these words expose the performance.",A4-1-tone-vs-topic-fiction,hard
a4-1_q10,10,"Read: ""She set the photograph down and said, with that small private smile of hers, that it was time to begin."" Which WORDS are the clearest tone signals?","""the photograph"" — the object she is holding","""set the photograph down"" — a plain physical action","""it was time to begin"" — what she actually says","""that small private smile of hers"" — how she smiles",D,"Tempting because the photograph is the most loaded object in the sentence, and photographs usually mean memory. But a noun names a topic; it carries no attitude by itself.","Tempting because the action is deliberate, and deliberate actions can feel meaningful. But ""set down"" is a neutral verb — it reports movement without coloring it.","The closest wrong answer: her words do carry purpose and resolve. But that's the CHARACTER's statement of plans, not the narrator's attitude toward her.","Correct. ""Small"" and ""private"" are the narrator's choices, and both make the smile intimate and affectionate. Modifiers like these are where tone usually hides — not in nouns or plain verbs.",A4-1-tone-vs-topic-fiction,hard
